text,label
"Dieu ne peut pas ordonner quelque chose d’impossible pour l’homme",0
"Si Dieu te dit de faire, il faut faire",1
"C’est pour ça que lorsque Dieu ordonne de faire le djihad, il faut le faire",1
"Même s’il y a une promesse entre vous, ils peuvent te tuer",1
"Vous trouvez les leaders et vous les tuez",1
"Que la paix soit avec vous",0
"Nous prions pour un monde meilleur",0
"La foi est un chemin de patience et de persévérance",0
"Que Dieu protège nos familles et nos proches",0
"L’enseignement religieux est une source de sagesse et de guidance",0
"L’amour du prochain est un principe fondamental",0
"Nous devons vivre en harmonie avec nos voisins",0 
"La prière est un moyen de se rapprocher de Dieu",0
"La connaissance est une lumière qui éclaire le cœur et l’esprit",0
"Que Dieu nous accorde la paix intérieure",0  
